id,name
500701164,בית ספר המשפחה הקדושה
500701610,אוניברסיטה העברית
500701628,אוניברסיטת חיפה
500701636,הטכניון - מכון טכנולוגי לישראל
500701644,אוניברסיטת בן גוריון
500706502,האוניברסיטה הפתוחה
