year,value
1997,67.95166667
1998,71.64416667
1999,75.365
2000,76.21416667
2001,77.06416667
2002,81.44583333
2003,81.99333333
2004,81.65416667
2005,82.7375
2006,84.4825
2007,84.92
2008,88.82083333
2009,91.765
2010,94.2375
2011,97.48916667
2012,99.1525
2013,100.6666667
2014,101.1441667
2015,100.5058333
2016,99.9575
2017,100.2
2018,101.0083333
