year,population
1992,5123500
1993,5261400
1994,5399300
1995,5544900
1996,5685100
1997,5828900
1998,5970700
1999,6125300
2000,6289200
2001,6439000
2002,6570000
2003,6689700
2004,6809000
2005,6930100
2006,7053700
2007,7180100
2008,7308800
2009,7485600
2010,7623600
2011,7765800
2012,7910500
2013,8059400
2014,8215500
2015,8380100
2016,8546000
2017,8713300
